city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Jupiter Farms,Jupiter Farms,FL,Florida,12099,Palm Beach,26.9222,-80.2189,13358,342,shape,FALSE,TRUE,America/New_York,3,33478,1840042432
Lake Station,Lake Station,IN,Indiana,18089,Lake,41.5729,-87.2599,13352,621.9,shape,FALSE,TRUE,America/Chicago,3,46405,1840008195
Carnot-Moon,Carnot-Moon,PA,Pennsylvania,42003,Allegheny,40.5187,-80.2178,13345,861.5,shape,FALSE,TRUE,America/New_York,3,15108,1840073606
Andrews,Andrews,TX,Texas,48003,Andrews,32.3207,-102.552,13342,741.2,shape,FALSE,TRUE,America/Chicago,3,79714,1840019474
Henderson,Henderson,TX,Texas,48401,Rusk,32.1576,-94.796,13338,430.9,shape,FALSE,TRUE,America/Chicago,3,75652 75654 75653,1840020767
Mountain Park,Mountain Park,GA,Georgia,13135,Gwinnett,33.8458,-84.1314,13334,888.8,shape,FALSE,FALSE,America/New_York,3,30047 30087,1840143063
La Grange Park,La Grange Park,IL,Illinois,17031,Cook,41.8308,-87.8723,13332,2305.7,shape,FALSE,TRUE,America/Chicago,2,60526,1840011256
Blue Ash,Blue Ash,OH,Ohio,39061,Hamilton,39.248,-84.3827,13325,678.4,shape,FALSE,TRUE,America/New_York,3,45241 45242 45236,1840003812
Broussard,Broussard,LA,Louisiana,22055,Lafayette,30.1396,-91.954,13322,284.6,shape,FALSE,TRUE,America/Chicago,3,70518,1840013964
Kingston,Kingston,PA,Pennsylvania,42079,Luzerne,41.2652,-75.8876,13317,2395.5,shape,FALSE,TRUE,America/New_York,2,18704,1840000756
Auburn,Auburn,IN,Indiana,18033,DeKalb,41.3666,-85.0559,13316,636,shape,FALSE,TRUE,America/Indiana/Indianapolis,3,46706,1840007100
Coatesville,Coatesville,PA,Pennsylvania,42029,Chester,39.9849,-75.82,13316,2842.9,shape,FALSE,TRUE,America/New_York,2,19320,1840001424
White House,White House,TN,Tennessee,47147,Robertson,36.4648,-86.6666,13305,447.3,shape,FALSE,TRUE,America/Chicago,3,37188,1840015274
Woodinville,Woodinville,WA,Washington,53033,King,47.757,-122.1477,13301,914.7,shape,FALSE,TRUE,America/Los_Angeles,3,98072,1840021121
Mount Vernon,Mount Vernon,VA,Virginia,51059,Fairfax,38.714,-77.1043,13299,982.8,shape,FALSE,FALSE,America/New_York,3,22309 22121,1840006020
Elfers,Elfers,FL,Florida,12101,Pasco,28.214,-82.723,13296,1377.5,shape,FALSE,FALSE,America/New_York,3,34690 34653 34652 34680,1840013122
Clayton,Clayton,OH,Ohio,39113,Montgomery,39.8689,-84.3292,13292,277.2,shape,FALSE,TRUE,America/New_York,3,45315 45322 45415,1840010584
Rogers,Rogers,MN,Minnesota,27053,Hennepin,45.1865,-93.5783,13283,201.8,shape,FALSE,TRUE,America/Chicago,3,55374,1840008932
Blytheville,Blytheville,AR,Arkansas,5093,Mississippi,35.9321,-89.9051,13276,247.2,shape,FALSE,TRUE,America/Chicago,3,72315 72316,1840013390
Lincolnwood,Lincolnwood,IL,Illinois,17031,Cook,42.0054,-87.733,13268,1903.2,shape,FALSE,TRUE,America/Chicago,3,60712,1840011259
